iter	Passed	Remaining
470	3609	4053
471	3616	4045
472	3624	4037
473	3631	4029
474	3638	4021
475	3645	4013
476	3653	4005
477	3661	3998
478	3670	3991
479	3678	3985
480	3685	3977
481	3693	3969
482	3701	3961
483	3708	3953
484	3716	3946
485	3723	3938
486	3731	3930
487	3737	3921
488	3745	3914
489	3753	3906
490	3761	3899
491	3769	3891
492	3777	3884
493	3784	3876
494	3792	3868
495	3799	3860
496	3807	3853
497	3814	3845
498	3822	3837
499	3829	3829
500	3836	3821
501	3844	3813
502	3851	3805
503	3860	3798
504	3868	3791
505	3876	3784
506	3883	3776
507	3891	3768
508	3899	3761
509	3907	3754
510	3915	3746
511	3923	3739
512	3930	3731
513	3938	3723
514	3946	3716
515	3954	3708
516	3961	3701
517	3969	3693
518	3977	3685
519	3984	3677
520	3991	3669
521	3999	3662
522	4006	3654
523	4014	3646
524	4021	3638
525	4029	3630
526	4036	3622
527	4044	3615
528	4051	3607
529	4059	3599
530	4066	3591
531	4074	3584
532	4082	3576
533	4090	3569
534	4098	3561
535	4106	3554
536	4113	3546
537	4121	3539
538	4128	3531
539	4136	3523
540	4143	3515
541	4151	3508
542	4159	3500
543	4166	3492
544	4173	3484
545	4181	3476
546	4189	3469
547	4196	3461
548	4204	3453
549	4211	3445
550	4219	3438
551	4226	3430
552	4234	3422
553	4242	3415
554	4249	3406
555	4257	3399
556	4264	3391
557	4271	3383
558	4279	3375
559	4287	3368
560	4294	3360
561	4303	3353
562	4309	3345
563	4316	3337
564	4323	3328
565	4330	3320
566	4337	3312
567	4344	3304
568	4351	3296
569	4359	3288
570	4367	3281
571	4374	3273
572	4382	3265
573	4389	3257
574	4396	3249
575	4403	3241
576	4411	3233
577	4419	3226
578	4426	3218
579	4434	3211
580	4441	3203
581	4449	3195
582	4457	3188
583	4465	3181
584	4473	3173
585	4480	3165
586	4488	3158
587	4496	3150
588	4503	3142
589	4510	3134
590	4517	3126
591	4524	3118
592	4532	3110
593	4539	3102
594	4546	3094
595	4553	3086
596	4561	3079
597	4569	3071
598	4576	3063
599	4584	3056
600	4591	3048
601	4599	3040
602	4606	3032
603	4614	3025
604	4621	3017
605	4628	3009
606	4636	3001
607	4644	2994
608	4650	2986
609	4658	2978
610	4666	2971
611	4675	2963
612	4682	2956
613	4689	2947
614	4697	2940
615	4704	2932
616	4712	2925
617	4720	2917
618	4727	2910
619	4735	2902
620	4742	2894
621	4750	2886
622	4757	2879
623	4766	2872
624	4773	2864
625	4781	2856
626	4788	2848
627	4795	2840
628	4803	2833
629	4810	2825
630	4818	2817
631	4826	2810
632	4833	2802
633	4841	2795
634	4849	2787
635	4857	2780
636	4865	2772
637	4873	2765
638	4880	2757
639	4887	2749
640	4896	2742
641	4903	2734
642	4911	2726
643	4918	2719
644	4926	2711
645	4934	2703
646	4941	2696
647	4948	2688
648	4955	2680
649	4964	2673
650	4971	2665
651	4979	2657
652	4986	2649
653	4994	2642
654	5002	2634
655	5010	2627
656	5017	2619
657	5025	2611
658	5033	2604
659	5040	2596
660	5048	2589
661	5055	2581
662	5063	2573
663	5070	2565
664	5077	2558
665	5085	2550
666	5093	2542
667	5101	2535
668	5108	2527
669	5116	2519
670	5124	2512
671	5131	2504
672	5138	2496
673	5146	2489
674	5153	2481
675	5161	2473
676	5168	2466
677	5176	2458
678	5183	2450
679	5191	2442
680	5199	2435
681	5206	2427
682	5214	2420
683	5222	2412
684	5229	2404
685	5236	2397
686	5244	2389
687	5252	2381
688	5259	2374
689	5267	2366
690	5274	2358
691	5282	2351
692	5289	2343
693	5297	2335
694	5305	2328
695	5313	2320
696	5321	2313
697	5329	2305
698	5337	2298
699	5345	2290
700	5353	2283
701	5360	2275
702	5368	2268
703	5376	2260
704	5383	2252
705	5391	2245
706	5397	2236
707	5405	2229
708	5412	2221
709	5420	2214
710	5429	2206
711	5437	2199
712	5445	2191
713	5453	2184
714	5460	2176
715	5468	2169
716	5476	2161
717	5483	2153
718	5490	2145
719	5498	2138
720	5507	2131
721	5515	2123
722	5522	2116
723	5530	2108
724	5538	2100
725	5545	2093
726	5553	2085
727	5561	2077
728	5569	2070
729	5576	2062
730	5585	2055
731	5592	2047
732	5600	2040
733	5608	2032
734	5615	2024
735	5623	2017
736	5631	2009
737	5639	2002
738	5647	1994
739	5655	1986
740	5663	1979
741	5671	1971
742	5678	1964
743	5685	1956
744	5692	1948
745	5699	1940
746	5706	1932
747	5715	1925
748	5722	1917
749	5729	1909
750	5737	1902
751	5744	1894
752	5752	1886
753	5759	1879
754	5768	1871
755	5775	1863
756	5783	1856
757	5791	1849
758	5799	1841
759	5806	1833
760	5814	1826
761	5821	1818
762	5829	1810
763	5836	1803
764	5844	1795
765	5853	1788
766	5862	1780
767	5869	1773
768	5877	1765
769	5885	1757
770	5892	1750
771	5900	1742
772	5907	1734
773	5915	1727
774	5923	1719
775	5931	1712
776	5938	1704
777	5946	1696
778	5952	1688
779	5960	1681
780	5967	1673
781	5974	1665
782	5981	1657
783	5988	1649
784	5995	1642
785	6003	1634
786	6010	1626
787	6017	1618
788	6024	1611
789	6032	1603
790	6039	1595
791	6047	1588
792	6055	1580
793	6063	1573
794	6070	1565
795	6077	1557
796	6085	1550
797	6093	1542
798	6100	1534
799	6108	1527
800	6116	1519
801	6124	1511
802	6131	1504
803	6139	1496
804	6147	1489
805	6154	1481
806	6163	1473
807	6170	1466
808	6178	1458
809	6185	1451
810	6193	1443
811	6200	1435
812	6208	1428
813	6216	1420
814	6223	1412
815	6230	1404
816	6237	1397
817	6245	1389
818	6252	1381
819	6261	1374
820	6270	1367
821	6278	1359
822	6287	1352
823	6295	1344
824	6304	1337
825	6312	1329
826	6320	1322
827	6326	1314
828	6335	1306
829	6342	1299
830	6350	1291
831	6357	1283
832	6365	1276
833	6372	1268
